
Player1,Player2,Round,Result,FNL1,FNL2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
Nicolas Mahut,Matthew Ebden,1,0,2,3,64,63,36,23,7,4,49,57,6,15,24,46,137,3,5,6,6,3,67,58,33,23,7,7,45,55,6,12,28,37,131,6,7,4,0,6
Alejandro Falla,Mikhail Kukushkin,1,1,3,1,60,50,40,23,4,2,4,2,10,28,,,151,6,6,6,6,NA,55,55,45,23,2,3,2,3,4,14,,,128,7,2,2,3,NA
Stanislas Wawrinka,Andrey Golubev,1,1,2,0,63,20,37,6,4,1,23,11,4,9,13,14,54,6,4,NA,NA,NA,64,18,36,10,0,0,8,15,1,2,6,12,37,4,1,NA,NA,NA
Alejandro Gonzalez,David Ferrer,1,0,0,3,68,34,32,7,2,4,22,41,5,7,11,21,75,3,4,4,NA,NA,53,28,47,21,2,6,33,30,8,12,18,22,96,6,6,6,NA,NA
Steve Johnson,Adrian Mannarino,1,0,2,3,53,50,47,28,21,12,21,12,4,6,,,129,6,3,0,7,4,58,52,42,37,3,3,3,3,7,11,,,142,3,6,6,5,6
Ricardas Berankis,Alexandr Dolgopolov,1,0,0,3,50,39,50,26,10,3,28,38,1,3,17,31,91,5,5,2,NA,NA,58,42,42,23,7,4,37,31,5,16,12,12,114,7,7,6,NA,NA
Jeremy Chardy,Jesse Huta Galung,1,1,3,0,66,46,34,16,9,2,31,27,4,9,12,13,94,6,6,6,NA,NA,57,41,43,13,9,7,30,33,0,5,14,17,80,2,4,4,NA,NA
Jordan Thompson,Jerzy Janowicz,1,0,2,3,60,58,40,21,13,8,40,36,3,10,18,28,140,6,6,4,2,1,64,74,36,27,18,11,62,64,5,9,31,46,153,1,4,6,6,6
Albert Ramos,Pablo Andujar,1,0,0,3,61,32,39,10,2,3,2,3,3,7,,,77,4,2,4,NA,NA,73,40,27,15,2,1,2,1,7,12,,,97,6,6,6,NA,NA
Florian Mayer,Denis Kudla,1,1,3,0,58,36,42,22,6,1,25,23,5,11,11,14,101,6,6,6,NA,NA,59,35,41,18,1,2,31,45,1,3,12,20,78,4,2,4,NA,NA
Mikhail Youzhny,Jan-Lennard Struff,1,1,3,0,69,39,31,17,5,2,11,30,7,9,5,8,95,6,6,6,NA,NA,49,24,51,12,2,8,20,61,2,5,15,22,66,1,4,2,NA,NA
Guillermo Garcia-Lopez,Tommy Haas,1,1,2,0,58,27,42,11,7,3,19,9,4,4,3,5,65,7,5,NA,NA,NA,52,22,48,11,4,7,18,35,1,2,10,10,55,5,2,NA,NA,NA
Carlos Berlocq,Edouard Roger-Vasselin,1,0,1,3,57,49,43,32,9,4,9,4,4,13,,,150,4,6,7,2,NA,65,67,35,32,6,6,6,6,7,16,,,163,6,7,6,6,NA
Dominic Thiem,Joao Sousa,1,1,3,1,55,60,45,31,20,3,20,3,5,12,,,148,5,6,6,7,NA,65,57,35,30,8,0,8,0,3,8,,,133,7,4,3,6,NA
Kevin Anderson,Jiri Vesely,1,1,3,2,63,76,37,28,21,9,21,9,3,14,,,154,2,6,6,6,6,57,69,43,43,16,10,16,10,2,6,,,154,6,7,4,4,4
Ivo Karlovic,Ivan Dodig,1,0,0,3,66,55,34,18,25,1,48,27,1,3,24,50,93,6,3,6,NA,NA,83,68,17,12,8,2,41,7,2,3,24,35,108,7,6,7,NA,NA
Jan Hajek,Damir Dzumhur,1,0,0,3,73,31,27,6,2,6,2,6,1,2,,,55,4,2,1,NA,NA,53,31,47,19,4,3,4,3,7,12,,,95,6,6,6,NA,NA
Di Wu,Kenny De Schepper,1,0,0,3,60,46,40,29,3,5,33,36,2,13,23,35,125,5,5,6,NA,NA,62,63,38,20,19,13,58,66,4,11,29,44,134,7,7,7,NA,NA
Tomas Berdych,Aleksandr Nedovyesov,1,1,3,0,66,39,34,19,9,0,35,17,4,14,13,23,97,6,6,6,NA,NA,61,37,39,17,8,2,22,37,0,2,11,16,67,3,4,3,NA,NA
James Duckworth,Roger Federer,1,0,0,3,52,36,48,19,13,3,34,38,0,1,19,34,74,4,4,2,NA,NA,58,40,42,19,11,5,30,17,4,17,18,22,96,6,6,6,NA,NA
Radek Stepanek,Blaz Kavcic,1,0,2,2,51,37,49,29,5,11,51,54,4,11,22,32,104,7,6,1,0,NA,63,43,37,22,10,6,41,27,6,14,6,15,121,6,4,6,2,NA
Teymuraz Gabashvili,Sergiy Stakhovsky,1,1,3,1,58,49,42,24,5,4,5,4,9,17,,,133,6,6,6,6,NA,55,50,45,21,14,8,14,8,3,6,,,112,7,4,2,0,NA
Fernando Verdasco,Ze Zhang,1,1,3,1,61,59,39,24,20,6,44,40,5,14,7,11,125,5,6,6,6,NA,58,44,42,25,7,6,20,48,1,5,10,17,101,7,3,2,3,NA
Daniel Brands,Gilles Simon,1,0,2,3,63,109,37,36,41,4,111,81,2,25,29,44,231,7,4,6,3,1,56,114,44,57,32,18,75,53,4,10,37,55,230,6,6,3,6,1
Marin Cilic,Marcel Granollers,1,1,3,2,58,57,42,30,22,4,63,53,5,8,21,31,145,4,4,6,6,6,61,64,39,27,13,4,41,34,2,3,20,29,124,6,6,3,3,2
Thomaz Bellucci,Julian Reister,1,1,2,1,53,39,47,24,8,6,33,37,4,7,18,22,98,4,6,7,NA,NA,60,41,40,16,4,9,21,36,4,8,8,19,93,6,3,6,NA,NA
Jo-Wilfried Tsonga,Filippo Volandri,1,1,3,0,62,37,38,23,15,1,36,25,5,13,12,15,104,7,6,6,NA,NA,57,35,43,20,2,6,28,39,1,2,20,31,77,5,3,3,NA,NA
Martin Klizan,John Isner,1,1,2,0,54,25,46,21,9,2,27,10,2,5,1,3,71,6,7,NA,NA,NA,78,36,22,6,10,0,23,23,0,3,5,10,52,2,6,NA,NA,NA
Blaz Rola,Federico Delbonis,1,1,3,0,68,57,32,13,6,8,6,8,4,9,,,108,6,6,7,NA,NA,63,38,37,16,4,1,4,1,0,8,,,86,4,2,5,NA,NA
Michal Przysiezny,Horacio Zeballos,1,1,3,0,69,48,31,17,15,0,15,0,5,8,,,104,6,7,7,NA,NA,60,43,40,18,11,4,11,4,2,4,,,85,3,6,5,NA,NA
Stephane Robert,Aljaz Bedene,1,1,3,0,46,25,54,21,4,2,22,22,9,17,11,12,104,7,6,6,NA,NA,54,40,46,9,16,11,28,52,4,5,6,10,74,6,3,0,NA,NA
Somdev Devvarman,Feliciano Lopez,1,0,0,3,52,34,48,28,6,1,6,1,2,7,,,89,4,4,6,NA,NA,65,50,35,18,12,2,12,2,4,7,,,110,6,6,7,NA,NA
Michael Berrer,Michael Llodra,1,1,3,0,63,39,37,19,9,6,9,6,5,12,,,95,6,7,6,NA,NA,72,47,28,12,10,5,10,5,0,2,,,74,4,5,1,NA,NA
Vincent Millot,Wayne Odesnik,1,1,3,2,57,63,43,34,18,9,54,68,11,26,8,11,173,7,4,6,6,6,67,67,33,22,11,2,39,73,7,20,10,17,158,5,6,7,1,3
Andy Murray,Go Soeda,1,1,3,0,69,33,31,11,12,2,32,13,7,13,4,5,84,6,6,6,NA,NA,61,28,39,6,6,3,23,33,0,0,11,16,49,1,1,3,NA,NA
Rhyne Williams,Juan Martin Del Potro,1,0,1,3,57,52,43,25,29,1,55,39,1,2,12,18,107,7,3,4,4,NA,64,62,36,23,16,3,46,29,4,8,21,28,122,6,6,6,6,NA
Roberto Bautista Agut,Tim Smyczek,1,1,3,0,82,37,18,7,1,1,1,1,8,18,,,95,6,6,6,NA,NA,61,28,39,10,8,5,8,5,1,2,,,55,2,1,1,NA,NA
Nick Kyrgios,Benjamin Becker,1,1,3,1,54,60,46,25,34,13,71,52,6,8,5,8,133,6,6,6,7,NA,53,45,47,31,12,5,38,36,3,7,6,6,114,3,7,2,6,NA
Benoit Paire,Frank Dancevic,1,1,3,0,57,54,43,22,24,6,58,25,3,12,22,35,117,7,6,6,NA,NA,59,47,41,20,12,3,36,14,1,4,15,32,97,6,3,4,NA,NA
Bradley Klahn,Grigor Dimitrov,1,0,1,3,58,54,42,28,10,9,10,9,0,0,,,105,7,4,4,3,NA,57,55,43,30,14,4,14,4,4,8,,,133,6,6,6,6,NA
Jimmy Wang,Yen-Hsun Lu,1,0,0,3,63,32,37,12,1,3,1,3,3,7,,,76,3,2,1,NA,NA,62,33,38,11,9,5,9,5,9,19,,,101,6,6,6,NA,NA
Peter Gojowczyk,Victor Hanescu,1,0,0,3,55,44,45,22,8,6,36,59,1,6,5,7,103,6,6,3,NA,NA,66,60,34,23,9,4,24,34,2,6,10,12,121,7,7,6,NA,NA
Milos Raonic,Daniel Gimeno-Traver,1,1,3,1,64,56,36,17,21,7,48,29,7,20,21,30,127,7,6,4,6,NA,56,43,44,25,5,5,22,33,3,6,8,12,96,6,1,6,2,NA
Marinko Matosevic,Kei Nishikori,1,0,2,3,61,69,39,29,14,9,46,63,3,9,16,30,147,3,7,2,6,2,66,68,34,25,6,6,44,50,7,15,11,16,167,6,5,6,4,6
Dusan Lajovic,Lucas Pouille,1,1,3,1,61,53,39,30,7,7,28,57,5,10,8,17,141,6,7,4,6,NA,61,55,39,22,2,10,41,88,4,8,23,39,126,4,6,6,3,NA
Robin Haase,Donald Young,1,0,1,3,67,56,33,18,11,6,38,56,1,4,13,15,106,7,6,2,0,NA,73,58,27,16,0,5,34,33,2,7,29,40,124,6,7,6,1,NA
Andreas Seppi,Lleyton Hewitt,1,1,3,2,59,72,41,40,17,5,67,59,7,18,8,11,175,7,6,5,5,7,51,76,49,38,23,5,54,61,7,13,23,40,178,6,3,7,7,5
Ryan Harrison,Gael Monfils,1,0,0,3,62,42,38,17,2,1,19,23,0,0,13,20,76,4,4,4,NA,NA,64,43,36,18,9,5,43,27,3,4,18,22,95,6,6,6,NA,NA
Tobias Kamke,Jack Sock,1,0,1,3,49,51,51,36,6,8,6,8,2,12,,,138,6,7,2,4,NA,50,54,50,43,16,12,16,12,4,10,,,146,7,5,6,6,NA
Thanasi Kokkinakis,Igor Sijsling,1,1,3,1,54,55,46,36,8,9,54,45,3,5,14,23,135,7,0,7,6,NA,59,56,41,23,20,5,53,47,4,9,23,36,135,6,6,6,2,NA
Rafael Nadal,Bernard Tomic,1,1,1,0,62,14,38,6,5,1,13,5,1,1,5,5,30,6,NA,NA,NA,NA,71,15,29,3,3,1,13,7,0,0,3,5,24,4,NA,NA,NA,NA
Leonardo Mayer,Novak Djokovic,2,0,0,3,52,28,48,17,3,7,14,39,0,0,7,11,59,0,4,4,NA,NA,66,36,34,17,12,2,30,11,5,6,5,9,93,6,6,6,NA,NA
Dmitry Tursunov,Denis Istomin,2,0,1,3,53,45,47,26,5,5,31,44,3,10,24,38,106,6,6,1,4,NA,54,47,46,36,14,1,46,34,5,8,14,18,127,7,4,6,6,NA
Sam Querrey,Ernests Gulbis,2,1,3,0,72,45,28,11,19,4,30,21,5,9,6,11,88,6,6,6,NA,NA,46,23,54,21,7,4,19,41,1,3,6,11,59,2,3,4,NA,NA
Fabio Fognini,Jarkko Nieminen,2,1,3,1,58,62,42,30,9,12,51,60,5,15,27,33,144,7,6,3,6,NA,65,57,35,23,3,5,24,37,2,16,15,24,134,5,4,6,2,NA
Nikolay Davydenko,Richard Gasquet,2,0,0,3,77,48,23,11,6,1,39,43,4,5,9,12,97,6,4,4,NA,NA,58,41,42,21,9,5,33,37,6,11,10,15,110,7,6,6,NA,NA
Tommy Robredo,Julien Benneteau,2,1,3,1,58,61,42,38,17,3,66,25,4,13,13,17,159,6,6,6,7,NA,62,68,38,27,14,6,64,65,1,11,42,65,138,3,7,1,6,NA
Matthew Ebden,Vasek Pospisil,2,0,1,3,68,64,32,19,8,3,30,43,3,11,26,35,121,6,6,6,1,NA,60,59,40,31,13,3,46,47,4,5,25,39,132,3,7,7,6,NA
Stanislas Wawrinka,Alejandro Falla,2,1,3,1,56,57,44,31,9,4,61,46,6,17,23,29,142,6,6,6,6,NA,60,56,40,25,1,3,26,37,2,7,24,39,117,3,3,7,4,NA
Adrian Mannarino,David Ferrer,2,0,1,3,55,44,45,25,5,1,32,73,5,10,18,31,113,6,7,0,3,NA,68,56,32,18,0,4,32,48,9,17,21,22,142,7,5,6,6,NA
Jeremy Chardy,Alexandr Dolgopolov,2,1,3,1,60,74,40,30,22,10,76,73,5,14,24,38,164,7,7,6,7,NA,71,81,29,22,15,2,43,36,4,12,19,24,160,5,6,7,6,NA
Pablo Andujar,Jerzy Janowicz,2,0,1,3,79,71,21,20,11,1,57,28,3,11,17,26,149,6,6,6,3,NA,67,76,33,25,15,5,63,47,3,11,11,18,151,4,7,7,6,NA
Mikhail Youzhny,Florian Mayer,2,0,2,3,55,55,45,36,14,5,48,46,3,7,14,21,126,4,6,3,6,3,60,59,40,33,19,3,48,41,4,11,29,42,136,6,3,6,3,6
Edouard Roger-Vasselin,Guillermo Garcia-Lopez,2,1,3,1,57,49,43,28,11,2,11,2,7,17,,,130,7,6,4,6,NA,51,46,49,26,9,10,9,10,4,13,,,117,6,4,6,1,NA
Kevin Anderson,Dominic Thiem,2,1,3,0,65,43,35,18,15,5,30,22,3,5,12,15,87,6,6,6,NA,NA,59,34,41,16,10,3,28,21,0,2,2,5,69,4,3,4,NA,NA
Damir Dzumhur,Ivan Dodig,2,0,2,2,51,36,49,26,7,6,33,27,3,5,12,18,95,4,4,6,4,NA,55,39,45,20,13,2,37,43,3,7,12,19,91,6,6,3,1,NA
Tomas Berdych,Kenny De Schepper,2,1,3,0,64,37,36,15,5,4,29,13,5,8,21,25,93,6,6,6,NA,NA,63,33,37,10,8,9,29,32,0,0,14,25,57,4,1,3,NA,NA
Blaz Kavcic,Roger Federer,2,0,0,3,62,32,38,18,6,3,14,21,1,2,4,13,72,2,1,6,NA,NA,76,45,24,9,11,0,52,35,6,11,23,29,103,6,6,7,NA,NA
Fernando Verdasco,Teymuraz Gabashvili,2,0,2,3,60,67,40,34,12,18,56,71,6,10,15,26,156,6,6,6,4,4,68,62,32,26,2,4,24,51,5,17,6,10,146,7,3,2,6,6
Marin Cilic,Gilles Simon,2,0,2,3,50,50,50,32,15,7,15,7,7,15,,,156,6,6,7,1,2,49,65,51,41,7,8,7,8,10,12,,,171,4,7,6,6,6
Jo-Wilfried Tsonga,Thomaz Bellucci,2,1,3,0,64,51,36,18,14,6,47,28,3,9,16,24,110,7,6,6,NA,NA,45,31,55,34,9,5,19,29,1,4,13,18,88,6,4,4,NA,NA
Blaz Rola,Martin Klizan,2,0,1,3,63,66,37,24,12,8,12,8,3,4,,,123,4,3,7,6,NA,58,49,42,34,16,5,16,5,5,14,,,139,6,6,5,7,NA
Stephane Robert,Michal Przysiezny,2,1,3,1,58,56,42,30,13,8,43,28,6,17,13,15,143,7,6,6,6,NA,58,50,42,24,12,6,46,63,2,7,22,36,112,6,1,7,1,NA
Michael Berrer,Feliciano Lopez,2,0,0,3,68,47,32,17,6,3,29,25,2,4,37,61,93,4,6,4,NA,NA,62,45,38,23,8,3,43,24,4,11,17,21,108,6,7,6,NA,NA
Andy Murray,Vincent Millot,2,1,3,0,59,35,41,17,5,5,25,31,8,17,7,7,106,6,6,7,NA,NA,55,25,45,20,2,7,22,55,3,4,12,20,68,2,2,5,NA,NA
Roberto Bautista Agut,Juan Martin Del Potro,2,1,3,2,69,88,31,23,12,6,72,59,5,8,20,28,162,4,6,5,6,7,72,76,28,21,28,2,53,41,4,17,13,25,152,6,3,7,4,5
Benoit Paire,Nick Kyrgios,2,1,3,2,50,68,50,47,32,5,78,45,7,24,28,32,188,6,6,6,6,6,66,86,34,27,24,11,59,74,2,10,21,35,159,7,7,4,2,2
Yen-Hsun Lu,Grigor Dimitrov,2,0,0,3,70,47,30,19,2,2,23,46,2,4,13,18,95,3,3,6,NA,NA,59,49,41,18,15,7,36,35,5,21,5,9,117,6,6,7,NA,NA
Milos Raonic,Victor Hanescu,2,1,3,0,64,57,36,23,27,2,63,36,2,6,17,25,116,7,6,6,NA,NA,67,55,33,22,6,1,23,23,0,5,7,10,101,6,4,4,NA,NA
Dusan Lajovic,Kei Nishikori,2,0,0,3,70,37,30,8,7,3,17,49,1,5,4,7,68,1,1,6,NA,NA,64,43,36,15,5,3,30,27,6,12,10,14,104,6,6,7,NA,NA
Andreas Seppi,Donald Young,2,0,2,3,57,57,43,33,12,10,47,65,6,18,9,15,165,4,6,3,6,5,61,71,39,29,6,15,47,78,6,15,31,48,158,6,2,6,4,7
Jack Sock,Gael Monfils,2,0,0,3,58,48,42,23,5,9,34,37,1,1,16,29,92,6,5,2,NA,NA,62,47,38,23,13,3,39,30,4,11,20,26,117,7,7,6,NA,NA
Rafael Nadal,Thanasi Kokkinakis,2,1,3,0,74,45,26,11,7,1,39,19,5,10,11,14,91,6,6,6,NA,NA,67,33,33,10,4,3,21,24,0,3,8,10,61,2,4,2,NA,NA
Denis Istomin,Novak Djokovic,3,0,0,3,65,41,35,10,5,1,14,26,1,1,3,9,71,3,3,5,NA,NA,63,38,37,20,6,1,31,23,5,8,16,21,93,6,6,7,NA,NA
Fabio Fognini,Sam Querrey,3,1,3,0,60,41,40,26,9,3,43,26,4,10,7,11,108,7,6,6,NA,NA,63,43,37,19,10,1,27,41,1,4,11,23,86,5,4,4,NA,NA
Tommy Robredo,Richard Gasquet,3,1,3,1,65,70,35,21,16,3,51,38,3,7,18,25,140,2,7,6,7,NA,62,61,38,28,4,5,62,34,3,9,44,57,137,6,5,4,6,NA
Jeremy Chardy,David Ferrer,3,0,0,3,58,44,42,17,8,8,30,51,1,3,17,27,87,2,6,2,NA,NA,72,44,28,17,2,1,22,24,5,11,10,12,111,6,7,6,NA,NA
Florian Mayer,Jerzy Janowicz,3,1,3,0,68,42,32,15,17,0,38,7,5,11,12,13,98,7,6,6,NA,NA,53,34,47,18,3,7,34,44,0,1,11,15,63,5,2,2,NA,NA
Kevin Anderson,Edouard Roger-Vasselin,3,1,3,2,67,77,33,26,27,6,82,69,3,12,22,30,164,3,4,6,7,7,74,94,26,20,8,4,43,34,3,7,17,29,162,6,6,3,6,5
Tomas Berdych,Damir Dzumhur,3,1,3,0,57,37,43,19,13,1,32,26,5,9,13,18,93,6,6,6,NA,NA,44,25,56,17,5,6,21,34,0,2,5,9,58,4,2,2,NA,NA
Teymuraz Gabashvili,Roger Federer,3,0,0,3,69,38,31,10,3,5,27,33,0,5,7,19,66,2,2,3,NA,NA,62,39,38,16,6,1,35,18,5,14,11,20,98,6,6,6,NA,NA
Jo-Wilfried Tsonga,Gilles Simon,3,1,3,0,66,49,34,20,17,0,40,29,3,6,20,27,94,7,6,6,NA,NA,53,34,47,22,7,3,21,25,0,3,23,28,79,6,4,2,NA,NA
Stephane Robert,Martin Klizan,3,1,3,0,72,54,28,11,7,5,35,23,4,10,14,17,105,6,7,6,NA,NA,53,32,47,21,6,4,36,38,0,3,18,29,75,0,6,4,NA,NA
Andy Murray,Feliciano Lopez,3,1,3,0,64,50,36,16,6,2,29,30,4,11,11,18,106,7,6,6,NA,NA,57,39,43,20,8,7,31,44,1,1,26,37,84,6,4,2,NA,NA
Benoit Paire,Roberto Bautista Agut,3,0,0,3,58,30,42,10,13,3,31,59,2,7,11,22,65,2,1,4,NA,NA,83,46,17,7,4,1,21,23,7,20,11,14,96,6,6,6,NA,NA
Milos Raonic,Grigor Dimitrov,3,0,1,3,59,55,41,30,21,5,50,39,1,3,22,53,107,3,6,4,6,NA,60,55,40,33,15,5,49,13,2,4,12,15,128,6,3,6,7,NA
Donald Young,Kei Nishikori,3,0,0,3,64,23,36,7,1,5,17,32,1,4,15,30,56,5,1,0,NA,NA,54,29,46,21,3,1,30,27,8,12,3,7,93,7,6,6,NA,NA
Rafael Nadal,Gael Monfils,3,1,3,0,67,38,33,20,2,0,21,18,6,12,9,13,107,6,6,6,NA,NA,69,39,31,10,10,5,33,57,0,6,4,9,70,1,2,3,NA,NA
Fabio Fognini,Novak Djokovic,4,0,0,3,59,32,41,13,3,7,20,44,0,0,11,16,55,3,0,2,NA,NA,72,38,28,12,7,2,33,21,6,22,12,16,96,6,6,6,NA,NA
Stanislas Wawrinka,Tommy Robredo,4,1,3,0,56,54,44,24,14,3,57,37,2,5,17,25,118,6,7,7,NA,NA,71,53,29,14,1,0,24,22,1,4,13,16,96,3,6,6,NA,NA
Florian Mayer,David Ferrer,4,0,1,3,61,52,39,27,4,3,33,49,3,11,29,56,118,7,5,2,1,NA,63,55,37,24,3,1,64,43,9,19,19,27,153,6,7,6,6,NA
Tomas Berdych,Kevin Anderson,4,1,3,0,52,33,48,21,4,3,38,17,5,17,15,18,92,6,6,6,NA,NA,72,40,28,9,16,1,31,30,0,0,6,19,66,2,2,3,NA,NA
Jo-Wilfried Tsonga,Roger Federer,4,0,0,3,52,32,48,23,8,1,29,28,0,1,11,25,72,3,5,4,NA,NA,57,42,43,25,7,1,43,21,3,7,34,41,100,6,7,6,NA,NA
Andy Murray,Stephane Robert,4,1,3,1,62,59,38,25,8,3,48,47,7,14,16,24,137,6,6,6,6,NA,51,39,49,22,3,8,33,56,1,6,20,31,103,1,2,7,2,NA
Grigor Dimitrov,Roberto Bautista Agut,4,1,3,1,60,57,40,21,11,3,38,34,4,5,23,35,114,6,3,6,6,NA,64,44,36,22,5,1,27,45,1,5,13,23,100,3,6,2,4,NA
Rafael Nadal,Kei Nishikori,4,1,3,0,71,67,29,14,12,1,36,28,5,8,10,19,129,7,7,7,NA,NA,66,51,34,16,2,1,36,51,4,10,20,25,110,6,5,6,NA,NA
Stanislas Wawrinka,Novak Djokovic,5,1,3,2,58,71,42,36,17,5,51,60,5,10,20,30,153,2,6,6,3,9,73,75,27,23,7,1,45,60,4,7,26,35,161,6,4,2,6,7
Tomas Berdych,David Ferrer,5,1,3,1,52,52,48,27,10,4,43,62,5,13,18,28,128,6,6,2,6,NA,61,46,39,23,2,1,30,46,3,12,12,13,119,1,4,6,4,NA
Andy Murray,Roger Federer,5,0,1,3,61,60,39,28,9,1,41,46,1,2,17,27,121,3,4,7,3,NA,64,61,36,28,10,0,54,42,4,17,49,66,147,6,6,6,6,NA
Rafael Nadal,Grigor Dimitrov,5,1,3,1,73,66,27,22,3,7,42,47,4,11,32,36,147,3,7,7,6,NA,58,64,42,32,16,5,54,61,3,6,28,41,132,6,6,6,2,NA
Tomas Berdych,Stanislas Wawrinka,6,0,1,3,62,71,38,30,21,7,60,49,0,1,23,31,142,3,7,6,6,NA,61,72,39,32,18,4,57,49,1,4,14,18,143,6,6,7,7,NA
Rafael Nadal,Roger Federer,6,1,3,0,65,41,35,22,3,1,28,25,4,14,3,10,105,7,6,6,NA,NA,66,45,34,18,8,1,34,50,1,2,23,42,86,6,3,3,NA,NA
Rafael Nadal,Stanislas Wawrinka,7,0,1,3,78,50,22,10,1,3,19,32,2,6,5,8,88,3,2,6,3,NA,55,46,45,22,19,2,53,49,5,15,11,12,116,6,6,3,6,NA
Serena Williams,Ashleigh Barty,1,1,2,0,59,20,41,8,6,2,31,17,5,10,10,11,58,6,6,NA,NA,NA,51,14,49,11,1,4,5,18,0,0,2,4,31,2,1,NA,NA,NA
Vesna Dolonc,Lara Arruabarrena,1,1,2,1,65,33,35,10,7,4,7,4,5,10,,,78,2,6,6,NA,NA,62,33,38,10,0,3,0,3,4,7,,,74,6,2,4,NA,NA
Pauline Parmentier,Karolina Pliskova,1,0,0,2,63,16,37,4,3,6,3,6,0,2,,,37,0,1,NA,NA,NA,60,26,40,7,5,0,5,0,5,14,,,64,6,6,NA,NA,NA
Heather Watson,Daniela Hantuchova,1,0,1,2,61,41,39,19,8,3,27,45,4,7,10,13,88,5,6,3,NA,NA,68,43,32,10,6,2,37,44,5,13,5,8,102,7,3,6,NA,NA
Samantha Stosur,Klara Zakopalova,1,1,2,0,65,28,35,11,6,1,19,18,7,10,7,10,74,6,6,NA,NA,NA,50,18,50,7,1,5,27,27,4,14,10,15,60,3,4,NA,NA,NA
Tsvetana Pironkova,Silvia Soler-Espinosa,1,1,2,0,62,28,38,12,5,0,30,21,3,5,4,7,68,6,6,NA,NA,NA,50,18,50,14,3,2,11,23,0,3,6,6,44,3,2,NA,NA,NA
Annika Beck,Petra Martic,1,1,2,0,67,18,33,8,0,0,8,10,6,11,3,3,52,6,6,NA,NA,NA,50,8,50,4,2,6,7,34,0,2,3,7,25,0,0,NA,NA,NA
